Date avis;Date fin d'expérience;Êtes-vous venu :;Verbatim public;Verbatim privé
14/01/2024;07/01/2024;En couple;Un sejour  de 2 jour devenu cauchemardesques !!! <br />Horrible !! Déçu !!! Honte !!!  <br />Payer 307€ pour des le premier jours faire les attractions pendant les 30mn d’avance offerte par le séjour et ne plus pouvoir en faire car 85mn d’attente pour chaque attraction à partir de 11h10… après avoir payer 307 € bien sûr 2 jour nous avons dû payer 70€ pour ne pas faire la queu au 2 eme jours !!   <br />Et la cerise sur le gâteau 1h45 pour avoir un café avec 5 famille juste devant nounous je n’appelle sa du professionnalisme… bien sûr la crêpe et le café n’a pas suffit à nous réchauffer après 1h45 sous le froid…. <br /> <br />Je conseil à personne ce parc, ce n’est pas possible de payer autant et ne pouvoir rien faire… <br /> <br />Honte honte honte honte;Un séjour de 2 jour devenu cauchemardesques ! <br />Horrible !Déçu !Honte  <br />Payer 307€ pour des le premier jours faire les attractions pendant les 30mn d’avance offerte par le séjour et ne plus pouvoir en faire car 85mn d’attente pour chaque attraction à partir de 11h10, après avoir payer 307 € bien sûr 2 jour nous avons dû payer 70€ pour ne pas faire la queu au 2 eme jours  <br />Et la cerise sur le gâteau 1h45 pour avoir un café avec 5 famille juste devant nous je n’appelle sa du professionnalisme. bien sûr la crêpe et le café n’a pas suffit à nous réchauffer après 1h45 sous le froid <br />Nous somme des habituer du parc Astérix ( 2 fois à l’année) et bas nous somme pas prêt de revenir… <br />La raison pour laquelle vous pourrait nous  changer d’avis  c’est que vous nous faites part d’un grand gestes merci  <br /> <br />
14/01/2024;06/01/2024;Avec des jeunes enfants;;excellent parc mais qui accueille trop de monde et bloque l'autoroute 
14/01/2024;07/01/2024;En couple;Parc superbes à prix abordables nous sommes fan inconditionnel de parc d'attractions asterix pas encore au niveau de Disney et europapark mais en train d'y arriver ;Donc personnellement on viens 3 fous par année, malheurement la clientèle du parc gâche l'expérience (doublage dans les files pour faire une attraction, ou pour les frites exemple client va voir le vendeur et double toutes ma file et ce fait servir ce sont des choses inadmissible) on voulais prendre les pass mes avec tout ceci je pense mes pré dre à europapark. Il faut faire quelque chose  <br />Après l'hôtel super juste petit couac cette fois si petit dej 1 tiers de vide et pas rempli à 10h dommage  <br />Mais dans l'ensemble le parc ai superbe mais dommage des problème  <br />
14/01/2024;05/01/2024;Seul;;La saison de Noël est trop courte. <br />Trop de monde à cause des vacances scolaires. <br />Ouvrir la saison au début décembre les week-ends, puis la semaine avant les congés scolaires tous les jours. <br />Merci
14/01/2024;07/01/2024;Entre amis;;Dernier jour de la saison, petit point noir de la journée : pas assez de stand qui vendaient des boissons chaudes, queue interminable pour un petit café car les machines était HS  <br /> <br />Sinon une magnifique idée d'utiliser la file d'attente de Romulus et Rapidus pour mettre un chemin rempli de lumière et de joie ! 
14/01/2024;07/01/2024;Entre amis;G passé une très bonne journée, malgré le monde l'attente restait correcte dans les attractions.  <br />Bonne idée de proposer de la tartiflette, avec qques endroits pour se réchauffer auprès de braseros c top.  <br />Et la forêt du père Noël était magnifique, bravo pour ce beau parcours illuminé.;J'avais un pass saison 2023 malheureusement en raison de problèmes de santé de mon conjoint même si ça n'est pas votre problème, je n'ai pu venir qu'une fois, je me disais que c dommage de ne pas pouvoir reconduire le pass pour la prochaine saison quite à mettre au bout avec les nouveaux tarifs 2024 à venir, bon c un pass CE donc trop compliqué je pense mais ça pourrait être une idée à suggérer pour la clientèle car c de l'argent perdu. <br />Bien cordialement et au plaisir de revenir dès que possible.
14/01/2024;07/01/2024;Avec des jeunes enfants;La seul chose négative trop de temp à attendre pour un tour de manège 80min énorme sinon tout était parfait incroyable magnifique l’accueil génial la gentillesse l’hôtel le restaurant magnifique on était très satisfait et encore un grand merci;La seul chose négative trop de temp à attendre pour un tour de manège 80min énorme sinon tout était parfait incroyable magnifique l’accueil génial la gentillesse l’hôtel le restaurant magnifique on était très satisfait et encore un grand merci
14/01/2024;05/01/2024;Avec des ados;Excellent parc d’attractions avec prestations de qualité ;
14/01/2024;04/01/2024;Avec des ados;Superbes expériences dans ce village gaulois. Les attractions aux sensations fortes ont retenu notre attention, et il est simple de s'orienter et de choisir nos activités grâce à l'appli. ;
13/01/2024;06/01/2024;Avec des ados;Très bon week-end en famille . Nous y sommes allés pour le Noël gaulois . Le parc  était très bien décoré et l'ambiance  chaleureuse. Les attractions sont très variées, il y en a pour tout les goûts. Nous avons  apprécié la patinoire. Les jardins illuminés et  les spectacles nous ont ravis. Le seul point négatif a été la foule déchaînée qui coure dans les allées , à l' ouverture du parc pour rejoindre l' attraction Toutatis. ;
13/01/2024;07/01/2024;Avec des ados;C'était la première fois que je venais en saison de Noël, mon fils et moi avons adoré l'ambiance, les spectacles, le jardin merveilleux avec  des décorations magnifiques, le repaire des lutins où nous avons déjeuné.  <br />De plus, nous avons eu un problème à Pégase express, l'attraction s'est arrêtée environ 15 mn dehors dans le froid . On a dû sortir de l'attraction en sortie de secours et les responsables nous ont proposé avec  les autres participants de faire une autre attraction en coupefile, nous avons choisi Toutatis et étions ravis . Merci beaucoup.  <br />On renouvelera c'est certain. Bravo pour ces belles idées, continuez comme ça 😊  <br />Hâte de voir les nouvelles attractions 2024!;
13/01/2024;06/01/2024;Avec des jeunes enfants;Très bon sejour;L hôtel est très bien petit déjeuner au top ! La thématique asterix n est toutefois pas très présente dans l hôtel 
13/01/2024;07/01/2024;Avec des jeunes enfants;Cadeaux de Noël pour les enfants, c’est avec beaucoup de plaisir qu’ils ont découvert et que j’ai pu redécouvrir en famille le parc Astérix. De très beaux moments en famille au cœur du Noël Gaulois, si somptueux avec ses décorations lumineuses, l’ambiance chaleureuse des marchés de Noël et sa parade féerique sans oublier l’étincelant feux d’artifice. Sans parler de la qualité  de ses spectacles exceptionnels « Quel cirque » ou encore « Dans la peau du Père Noël » ….Un séjour au cœur des Quais suspendus qui a su ravir les plus petits et les plus grands. Un restaurant aux mets diversifiés et de qualités. Quel  beau prolongement  des fêtes ce weekend du 6/7 janvier clap de fin de saison pour la fabuleuse équipe du Parc qui a cœur de faire plaisir! 👏😍😘 <br />Au plaisir de vous retrouver,MERCI;
13/01/2024;06/01/2024;Avec des ados;Bon moment passé au parc. Mais c’est dommage qu’il n’y avait pas beaucoup de points chauds au vi des températures froides ces derniers jours. Aussi je trouve très fortement regrettable qu’il n’y ai aucunes places de parking avec bornes de recharge pour les voitures électriques pour les visiteurs à la journée (il y en a mais seulement dans les parkings des hôtels réservées aux clients de l’hôtel). Cela est vraiment dommage en 2024 ne pas avoir pensé à en mettre !;Aussi je trouve très fortement regrettable qu’il n’y ai aucunes places de parking avec bornes de recharge pour les voitures électriques pour les visiteurs à la journée (il y en a mais seulement dans les parkings des hôtels réservées aux clients de l’hôtel). Cela est vraiment dommage en 2024 ne pas avoir pensé à en mettre !  <br />Pour les journées froides il faudrait penser à laisser ouvert plus longtemps les restaurants au chaud ou rajouter des feux car à rester 2h dans la queue pour toutatis cela donne froid !
13/01/2024;07/01/2024;Avec des ados;Parc très agréable pour toute la famille....;Proposer plus d'espace où acheter des boissons chaudes, il n'y en avait pas beaucoup et a chaque fois il y avait beaucoup de queue 
13/01/2024;07/01/2024;Entre amis;J'ai passé une bonne journée dans l'ensemble malgré une forte affluence. ;"J'ai passé une assez bonne journée avec des points positifs et des points négatifs que je vais énoncer :  <br /> <br />Points positifs : bonne ambiance dans le parc, spectacle ""qui veut la peau du Père Noël"" très beau, j'ai adoré.  <br />Points négatifs : personnel pas toujours très agréable (le vendeur à Encasdepannix vraiment pas aimable, il m'a balancé mon paquet de chips dans le sachet, j'ai demandé sur place mais il m'a servi dans un sac à emporter, il m'a compté je remise de 10% au lieu de 20%. J'ai remarqué après avoir payé, quand je suis venu lui faire remarquer, il avait l'air vraiment saoulé.  <br />En partant du stand, j'ai oublié mon gant, quand je suis revenu pour le récupérer, il me l'a balancé sur le comptoir. Niveau accueil et courtoisie on repassera.  <br />Les toilettes derrière ce stand étaient sales"
13/01/2024;07/01/2024;Avec des ados;Trop trop de monde !! Des heures de file.;
13/01/2024;06/01/2024;Avec des jeunes enfants;Les jardins merveilleux fait de jour et de nuit tout simplement magnifique, j’ai adoré ce Noël Gaulois ;
13/01/2024;07/01/2024;Avec des ados;Supper à refaire en famille ;
13/01/2024;07/01/2024;Avec des ados;hotel lutece parfait;
13/01/2024;07/01/2024;Avec des jeunes enfants;Super week-end !;
13/01/2024;07/01/2024;Entre amis;Le point positif  est les bonnes sensations de ce parc mais le négatif est le nombre d'attente et si on veux passer plus rapide cela reste super chère entre 10€ et 12€ la place pour chaque attraction et le parking qui coûte 20€ c'est inadmissible surtout que les parkings sont dégradé il y'a trou de partout.;Arrêter de faire payer les place de parking 20€ dite à votre patron de baisser les prix la dessus vous êtes presque au même niveau que disney
13/01/2024;07/01/2024;En couple;Super parc d’attraction je l’adore !  <br />Mon préféré depuis des années ! ;
13/01/2024;07/01/2024;Seul;"Bonjour à toutes et à tous ! <br /> <br />Je vous recommande vivement le parc Astérix pour cette année 2024, car de nouveaux changements et aménagements, de nouvelles attractions sont à prévoir... <br /> <br />Nous ne seront pas déçus. ""Let's Go !!""";
13/01/2024;07/01/2024;Entre amis;Trop d attente ;
13/01/2024;07/01/2024;Avec des jeunes enfants;J’ai passé un très bon séjour au parc Astérix. Les employés sont toujours agréable et le personnel de l’hôtel « la cité suspendu » est toujours au petit soin! ;Bonjour, tout était parfait hormis un problème de douche que j’ai signalé le lendemain à l’accueil. ( Chambre 1236) <br />Dans le parc certaines attractions avec des décors externes mériteraient un nouveau coup de peinture.  <br />J’ai pu constaté que depuis mon dernier passage il y a 2 ans , l’attraction la trace du Houra a toujours des soucis de fiabilités. <br />Merci pour ce bon week-end passé en famille.
13/01/2024;07/01/2024;Entre amis;;Très bien sauf le prix. Pour une famille nombreuse c'est vraiment un sacré choix.. .
13/01/2024;07/01/2024;En couple;Très bonne expérience 😁;
13/01/2024;04/01/2024;Avec des ados;attractions superbes des nouveautés chaque année, hotels au top ;attractions superbes des nouveautés chaque année, hotels au top  mais attention à certains visiteurs notamment des jeunes type banlieu qui sont irrespectueux dans le parc et dans les files d attente... il n y  a pas ce pb d insecurite chez Disney notamment (securite des sac a dos , bousculade ,...)
13/01/2024;07/01/2024;Avec des ados;Dommage y a de trop de temps d'attente ;
13/01/2024;07/01/2024;Entre amis;;Je trouve ça dommage que nous puisssions pas choisir nos places comme avant dans les attractions phare. Nous faisons 2h de queue pour se retrouver à une place que  nous ne voulons même pas. Lors de ma dernière visite les temps d’attente n’était pas du tout réel.
13/01/2024;07/01/2024;Avec des ados;Très bonne journée en famille, à refaire;
13/01/2024;07/01/2024;Entre amis;;"Nouvelle attraction Toutatis incroyable ! <br />Et merci pour les nuggets végétales ;-)"
13/01/2024;07/01/2024;Avec des jeunes enfants;;Faire quelque chose pour les temps d'attente.. 
13/01/2024;07/01/2024;Avec des jeunes enfants;;Bon séjour, je trouve juste que le plan du parc c'est pas toujours très clair et précis. De plus il m'a que peut être un peu de boutique a nourriture varié dans le parc quand il y a du monde. Mais nous reviendrons les enfants ont apprécie le séjour.
13/01/2024;07/01/2024;Entre amis;Découverte du parc pour la 1ère fois et très aimé toutes ses décorations de Noel et tous ces sapins. Bravo pour le jardin merveilleux de Noël qui est fantastique et unique. Dommage qu'il y ait peu d'endroits intérieurs pour se réchauffer quand il fait si froid (même en présence de braseros) et des attractions intérieures pour permettre de visiter le parc TOUTE l'année.;Découverte du parc pour la 1ère fois et très aimé toutes ses décorations de Noel et tous ces sapins. Bravo pour le jardin merveilleux de Noël qui est fantastique et unique. Dommage qu'il y ait peu d'endroits intérieurs pour se réchauffer quand il fait si froid (même en présence de braseros) et des attractions intérieures pour permettre de visiter le parc TOUTE l'année.
13/01/2024;06/01/2024;Avec des ados;Super accueil a l hôtel et au parc  <br />Super ambiance grâce au deco de noel <br /> <br />;En revanche je trouve regrettable que de nombreuses personnes ou groupe de personnes doublent dans les files d attente en se moquant des autres clients. <br />Nous avons fait la queue 2h pour faire tonnerre de zeus le samedi 6 janvier  <br />Il y avait des enfants de 6 ans qui attendaient devant nous aussi  <br />Et des jeunes de 18 20 ans passent par les portes intermédiaires pour doubler les gens et se moquent ouvertement de nous. <br />Il a fallu l intervention de 3 agents de sécurité pour les virer de la file. <br />Et c est pareil dans tous les manèges à sensation. <br />Je trouve cela dommage quand on vient passer le week end d anniversaire de mon fils d être énervée dans toutes les files par ce genre de comportement et de manque d éducation. <br />Peut être faudrait il verrouiller ces portes....
13/01/2024;07/01/2024;Entre amis;Lors de la nocturne en octobre nous avons demandé nos pass rapidus et on a été baladé. Au final on a perdu un peu plus d’une heure à attendre la mise en service de l’application. Le Dj présent sur la zone de spectacle a clairement sauvé notre soirée !  <br />En revanche, Le spectacle sur glace vu en janvier était incroyable et le spectacle aérien l’était aussi.  <br />;Les pass annuel sont un peu mis de côté. On a pas de vrai avantages à prendre un abonnement à l’année.  <br />Il manque un peu d’attraction surtout lorsque l’une est en panne. On voit tout de suite la différence.  <br />Les fumeurs ne respectent pas du tout les coins fumeurs et généralement les employés ne leur font pas de remarque.  <br />Lors de la nocturne en octobre nous avons demandé nos pass rapidus et on a été baladé. Au final on a perdu un peu plus d’une heure à attendre la mise en service de l’application. Le Dj présent sur la zone de spectacle a clairement sauvé notre soirée !  <br />Le spectacle sur glace en revanche était incroyable et le spectacle aérien l’était aussi.  <br />
13/01/2024;07/01/2024;En couple;Très bonne expérience, cependant je trouve que le parc pourrait être plus propre.;Nettoyer le parc un peu mieux que ça, être plus strict sur les déchets laissés dans les queues des attractions 
13/01/2024;07/01/2024;Avec des jeunes enfants;Avec ma fille de 8 ans et mon neveu de 25 ans nous avons passé une super journée lors du dernier jour de la féerie de Noël. Chacun a pu trouver les attractions ou activités qui lui convenait séparément ou tous ensemble. Le dîner pizza était bon, les illuminations et la parade étaient magiques ! Il n’y avait pas la foule donc on a vraiment profité jusqu’à la fermeture avec le feu d’artifice ! Juste bémol le personnel pas très impliqué, pas attentif ni très professionnel lorsqu’on les croise ou on les sollicitaient. Mais bon c’était sans doute parce que c’était le dernier jour avant fermeture…;J’ai été très surprise en demandant l’entrée d’une attraction que l’employée croisée dans le parc et sollicitée ne connaisse pas l’attraction. Peut-être que si le personnel pouvait avoir une journée pour découvrir un maximum d’attractions cela aiderait ou à minima avoir un talkie pour demander à un collègue… pas très professionnel limage renvoyée.
13/01/2024;07/01/2024;Avec des ados;On a été plusieurs fois cette année 2023 en famille. Chaque visite est incroyable pour les enfants !sensation, joie et excitation sont au rendez vous.;
13/01/2024;07/01/2024;Avec des ados;Weekend magique, des attractions au top, l'ambiance est très chouette!!;
13/01/2024;07/01/2024;En couple;Super journée au parc asterix les attractions sont tout amusant et surtout  attractions toutatis il est meilleur attractions du monde ;
13/01/2024;07/01/2024;Avec des jeunes enfants;J’ai adoré, toute la famille a adoré, mes 2 enfants de 8 et 16 ans. 1ere fois que l’on vient et très bonne surprise :);"Rupture de chocolats chauds, dommage avec le froid  ;) Et sinon continuer d augmenter le nombre d attraction pour avoir - d attente sur les attractions."
12/01/2024;06/01/2024;Avec des ados;Très bon séjour dans le parc pendant les vacances de Noël, malgré un peu d'attente pour les attractions, nous avons passé de très bon moments. <br />A renouveler !;Nous avons passé un excellent séjour dans le parc. Quelques petits points à améliorer, notamment la qualité et rapidité de service dans les restaurants ou stands de restauration rapide, revoir également les indications sur les temps d'attente aux attractions. Indiqué 75 minutes, nous avons attendu quasiment 2h. <br />A part ça, excellent séjour. <br />Merci d'avance pour votre prise en compte
12/01/2024;07/01/2024;Entre amis;Bonjour,  <br />J'étais déjà venue au paravent et c'est toujours aussi plaisant, tootatis est majestueux, pour moi la meilleur attraction en sensation forte (au goûts de chacun) mais en terme de sensation vous serez comblé.  <br />Pour la rigolade avec mes amis on faisaient la voix de Mickey et avant chaque lancemlent d'attraction on disais  par exemple( Bonne chance les amis, ou On va s'envoyer en l'air avec Mickey) et tous le monde rigolait c'était au top, et j'avais jamais autant rigolé de ma vie en 1 week-end. Merci Parc asterix.;Rester comme ça changer rien ( à part un attraction super rapide) où l'on peut prendre plusieurs G (pour les experts de sensation bien sur) avec des tests avant de réaliser l'attraction. Merci pour tout bonne continuation et bon courage.
12/01/2024;07/01/2024;En couple;On a passé un super week-end en famille  super parc ,on reviendra c'est certain !;
12/01/2024;06/01/2024;Entre amis;;Nous sommes restés bloqué dans l’attraction cheval de trois et le personnel n’arrivait à stopper la machine qui ne s’arrêtait pas de tourner. Horrible expérience. Aucune excuse venant du personnel pour ce problème survenue 
12/01/2024;07/01/2024;Entre amis;Toujours un plaisir de venir au parc Astérix malgré les incivilités des personnes qui ne respectent pas le règlement g intérieur du parc et aussi le respect des autres visiteurs (cigarettes et doubler dans les files d’attentes).;Encore trop d’irrespect du règlement.J’ai le pass annuel depuis 2 saisons.Et j’ai l’impression que le phénomène s’amplifie.Impossible de venir au parc sans se faire doubler dans les files d’attentes et de voir des visiteurs fumeurs également dans celles-ci.Exemple concret par un de vos opérateurs:nous faisions l’attente au niveau du pont de Toutatis avant,quand 2 jeunes s’insèrent au début des cordes, au téléphone voulant rejoindre leur amis plus bas et plus loin dans la file d’attente. En demandant à l’opérateur (niveau du siège essai Toutatis) s’ils pouvaient rejoindre leur amis.. accepté par l’opérateur donc les jeunes ont continués leur chemin en doublant un bon nombres de personnes. C’est inacceptable, les opérateurs ne connaissent pas le règlement intérieur.
12/01/2024;04/01/2024;Avec des ados;Les attractions sont vraiment excellentes et variées, la décorations et les spectacles étaient au dessus de mes attentes. En revanche, il y a toujours un certain nombre de personnes parmi les visiteurs qui multiplient les incivilités (dépassement dans les queues, vocabulaire utilisé très limite à proximité des enfants). J'attends davantage de rigueur, pour finalement plus de liberté et de plaisir partagé.  Mais, nous avons passé une superbe journée en famille, et nous reviendrons avec grand plaisir.;
12/01/2024;05/01/2024;Avec des jeunes enfants;Bien, mes filles de 7 et 11 ans se sont régalé. Les attractions sont très bien. <br />Mais le prix des accès rapides c’est abusé. 35 e pour une attraction c’est un peu du vol. Du coup on patiente… <br />Pensez à préciser que les boîtes et gobelets sont consignés svp au restaurant. Cela évitera à des personnes comme moi de ne pas se faire débarrasser la table par un inconnu qui récupère la somme des consignes. Il faut prévoir le budget c’est tout;Le personnel peu visible sur le parc, le peu présent n’est pas souriant. Ce serait un plus de communication la joie pour les enfants surtout pour un parc d’attraction.
12/01/2024;06/01/2024;Avec des ados;;Beaucoup trop d’attente, 90 min pour Osiris… <br />Les temps d’attente ne permettent pas de faire suffisamment d’attraction.
